partida_id,rodata,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,id_clube
106,9,0,0,,0,,0,0,0,0,0,21
106,9,0,0,,0,,0,0,0,0,0,14
107,9,0,0,,0,,0,0,0,0,0,41
107,9,0,0,,0,,0,0,0,0,0,40
108,9,0,0,,0,,0,0,0,0,0,39
108,9,0,0,,0,,0,0,0,0,0,2
109,10,0,0,,0,,0,0,0,0,0,9
109,10,0,0,,0,,0,0,0,0,0,35
110,10,0,0,,0,,0,0,0,0,0,39
110,10,0,0,,0,,0,0,0,0,0,1
111,10,0,0,,0,,0,0,0,0,0,8
111,10,0,0,,0,,0,0,0,0,0,25
112,10,0,0,,0,,0,0,0,0,0,44
112,10,0,0,,0,,0,0,0,0,0,12
113,10,0,0,,0,,0,0,0,0,0,15
113,10,0,0,,0,,0,0,0,0,0,41
114,10,0,0,,0,,0,0,0,0,0,23
114,10,0,0,,0,,0,0,0,0,0,11
115,10,0,0,,0,,0,0,0,0,0,16
115,10,0,0,,0,,0,0,0,0,0,14
116,10,0,0,,0,,0,0,0,0,0,6
116,10,0,0,,0,,0,0,0,0,0,2
117,10,0,0,,0,,0,0,0,0,0,32
117,10,0,0,,0,,0,0,0,0,0,40
118,10,0,0,,0,,0,0,0,0,0,31
118,10,0,0,,0,,0,0,0,0,0,37
119,10,0,0,,0,,0,0,0,0,0,30
119,10,0,0,,0,,0,0,0,0,0,21
120,10,0,0,,0,,0,0,0,0,0,28
120,10,0,0,,0,,0,0,0,0,0,10
121,11,0,0,,0,,0,0,0,0,0,15
121,11,0,0,,0,,0,0,0,0,0,9
122,11,0,0,,0,,0,0,0,0,0,14
122,11,0,0,,0,,0,0,0,0,0,30
123,11,0,0,,0,,0,0,0,0,0,40
123,11,0,0,,0,,0,0,0,0,0,11
124,11,0,0,,0,,0,0,0,0,0,1
124,11,0,0,,0,,0,0,0,0,0,44
125,11,0,0,,0,,0,0,0,0,0,23
125,11,0,0,,0,,0,0,0,0,0,10
126,11,0,0,,0,,0,0,0,0,0,39
126,11,0,0,,0,,0,0,0,0,0,41
127,11,0,0,,0,,0,0,0,0,0,37
127,11,0,0,,0,,0,0,0,0,0,16
128,11,0,0,,0,,0,0,0,0,0,25
128,11,0,0,,0,,0,0,0,0,0,32
129,11,0,0,,0,,0,0,0,0,0,6
129,11,0,0,,0,,0,0,0,0,0,31
130,11,0,0,,0,,0,0,0,0,0,2
130,11,0,0,,0,,0,0,0,0,0,28
131,11,0,0,,0,,0,0,0,0,0,8
131,11,0,0,,0,,0,0,0,0,0,21
132,11,0,0,,0,,0,0,0,0,0,12
132,11,0,0,,0,,0,0,0,0,0,35
133,12,0,0,,0,,0,0,0,0,0,9
133,12,0,0,,0,,0,0,0,0,0,21
134,12,0,0,,0,,0,0,0,0,0,40
134,12,0,0,,0,,0,0,0,0,0,28
135,12,0,0,,0,,0,0,0,0,0,32
135,12,0,0,,0,,0,0,0,0,0,6
136,12,0,0,,0,,0,0,0,0,0,35
136,12,0,0,,0,,0,0,0,0,0,31
137,12,0,0,,0,,0,0,0,0,0,23
137,12,0,0,,0,,0,0,0,0,0,39
138,12,0,0,,0,,0,0,0,0,0,25
138,12,0,0,,0,,0,0,0,0,0,12
139,12,0,0,,0,,0,0,0,0,0,15
139,12,0,0,,0,,0,0,0,0,0,44
140,12,0,0,,0,,0,0,0,0,0,16
140,12,0,0,,0,,0,0,0,0,0,11
141,12,0,0,,0,,0,0,0,0,0,8
141,12,0,0,,0,,0,0,0,0,0,1
142,12,0,0,,0,,0,0,0,0,0,10
142,12,0,0,,0,,0,0,0,0,0,14
143,12,0,0,,0,,0,0,0,0,0,2
143,12,0,0,,0,,0,0,0,0,0,37
145,13,0,0,,0,,0,0,0,0,0,16
145,13,0,0,,0,,0,0,0,0,0,9
146,13,0,0,,0,,0,0,0,0,0,40
146,13,0,0,,0,,0,0,0,0,0,44
147,13,0,0,,0,,0,0,0,0,0,11
147,13,0,0,,0,,0,0,0,0,0,15
148,13,0,0,,0,,0,0,0,0,0,2
148,13,0,0,,0,,0,0,0,0,0,8
149,13,0,0,,0,,0,0,0,0,0,23
149,13,0,0,,0,,0,0,0,0,0,32
150,13,0,0,,0,,0,0,0,0,0,39
150,13,0,0,,0,,0,0,0,0,0,25
151,13,0,0,,0,,0,0,0,0,0,6
151,13,0,0,,0,,0,0,0,0,0,10
152,13,0,0,,0,,0,0,0,0,0,28
152,13,0,0,,0,,0,0,0,0,0,1
153,13,0,0,,0,,0,0,0,0,0,31
153,13,0,0,,0,,0,0,0,0,0,14
154,13,0,0,,0,,0,0,0,0,0,37
154,13,0,0,,0,,0,0,0,0,0,21
155,13,0,0,,0,,0,0,0,0,0,12
155,13,0,0,,0,,0,0,0,0,0,41
156,13,0,0,,0,,0,0,0,0,0,30
156,13,0,0,,0,,0,0,0,0,0,35
157,14,0,0,,0,,0,0,0,0,0,37
157,14,0,0,,0,,0,0,0,0,0,11
158,14,0,0,,0,,0,0,0,0,0,14
158,14,0,0,,0,,0,0,0,0,0,12
159,14,0,0,,0,,0,0,0,0,0,35
159,14,0,0,,0,,0,0,0,0,0,6
160,14,0,0,,0,,0,0,0,0,0,10
160,14,0,0,,0,,0,0,0,0,0,39
161,14,0,0,,0,,0,0,0,0,0,16
161,14,0,0,,0,,0,0,0,0,0,2
162,14,0,0,,0,,0,0,0,0,0,41
162,14,0,0,,0,,0,0,0,0,0,23
163,14,0,0,,0,,0,0,0,0,0,44
163,14,0,0,,0,,0,0,0,0,0,8
164,14,0,0,,0,,0,0,0,0,0,1
164,14,0,0,,0,,0,0,0,0,0,21
165,14,0,0,,0,,0,0,0,0,0,32
165,14,0,0,,0,,0,0,0,0,0,31
166,14,0,0,,0,,0,0,0,0,0,30
166,14,0,0,,0,,0,0,0,0,0,25
167,14,0,0,,0,,0,0,0,0,0,9
167,14,0,0,,0,,0,0,0,0,0,40
