ID,rodata,data,hora,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,arrecadacao,id_mandante,id_visitante
6130,1,2018-04-15,16:01,4-1-4-1,4-1-4-1,J. Mannarino,T. Mendes Larghi,Vasco,Estádio Vasco da Gama,2,1,RJ,MG,0.0,12,35
6131,1,2018-04-15,16:02,4-2-3-1,4-2-3-1,O. Hellmann,A. Ferreira,Internacional,Estádio José Pinheiro Borda,2,0,RS,BA,0.0,10,37
6132,1,2018-04-15,16:02,4-2-4-0,5-4-1,F. Carille,A. da Silva Braga,Corinthians,Neo Química Arena,2,1,SP,RJ,0.0,8,9
6133,1,2018-04-15,19:01,3-4-2-1,5-4-1,F. Diniz Silva,G. Kleina,Athletico-PR,Estádio Joaquim Américo Guimarães,5,1,PR,SC,0.0,15,20
6134,1,2018-04-16,19:59,4-2-3-1,4-1-4-1,D. Aguirre Camblor,Ademir Fesan,Sao Paulo, Morumbi,1,0,SP,PR,0.0,2,39
6135,1,2018-04-16,20:00,4-1-4-1,4-2-3-1,A. Valentim do Carmo Neto,R. Machado Marques,-,Estádio Nilton Santos,1,1,RJ,SP,0.0,7,38
6136,2,2018-04-21,16:02,4-2-3-1,4-2-3-1,A. Ferreira,J. Ribeiro Ventura,Bahia,Itaipava Arena Fonte Nova,1,0,BA,SP,0.0,37,28
6137,2,2018-04-21,19:00,4-1-4-1,4-2-3-1,M. Nogueira Barbieri,E. Alves Moreira,Flamengo, Maracanã,2,0,RJ,MG,0.0,41,46
6138,2,2018-04-22,11:00,4-2-3-1,4-2-4-0,Ademir Fesan,F. Carille,Corinthians,Vila Capanema,0,4,PR,SP,0.0,39,8
6139,2,2018-04-22,16:00,3-4-2-1,4-1-4-1,M. Oliveira Chamusca,D. Aguirre Camblor,-,Arena Castelão,0,0,CE,SP,0.0,27,2
6140,2,2018-04-22,16:00,4-2-3-1,4-2-3-1,T. Mendes Larghi,V. Carmo Mancini,Atletico-MG,Estádio Raimundo Sampaio,2,1,MG,BA,0.0,35,21
6141,2,2018-04-22,16:00,3-4-1-2,4-4-2,A. da Silva Braga,L. Venker de Menezes,Fluminense, Maracanã,1,0,RJ,MG,0.0,9,30
6142,2,2018-04-22,16:01,4-2-3-1,4-2-3-1,G. Kleina,J. Mannarino,-,Arena Condá,1,1,SC,RJ,0.0,20,12
6143,2,2018-04-22,16:01,4-2-3-1,4-2-3-1,R. Machado Marques,O. Hellmann,Palmeiras,Estádio Municipal Paulo Machado de Carvalho,1,0,SP,RS,0.0,38,10
6144,2,2018-04-22,19:02,4-2-3-1,3-4-3,Renato Gaúcho,F. Diniz Silva,-,Arena do Grêmio,0,0,RS,PR,0.0,6,15
6145,2,2018-04-23,20:00,4-2-3-1,4-1-4-1,N. Baptista Júnior,A. Valentim do Carmo Neto,-,Adelmar da Costa Carvalho,1,1,PE,RJ,0.0,18,7
6146,3,2018-04-28,16:01,4-1-4-1,4-2-3-1,A. Valentim do Carmo Neto,Renato Gaúcho,Botafogo-RJ,Estádio Nilton Santos,2,1,RJ,RS,0.0,7,6
6149,3,2018-04-29,15:59,4-2-3-1,4-1-4-1,R. Machado Marques,G. Kleina,-,Allianz Parque,0,0,SP,SC,0.0,38,20
6151,3,2018-04-29,16:00,4-1-4-1,4-2-4-0,T. Mendes Larghi,F. Carille,Atletico-MG,Estádio Raimundo Sampaio,1,0,MG,SP,0.0,35,8
